title,price,currency,original_price,discount,seller,rating,installments,shipping,product_url,image_url,offer_type
Notebook Lenovo Ideapad 1 15ijl7 Intel Celeron N4500 12 Gb Ddr4-sdram 128 Gb Emmc 39.6 Cm (15.6 ) 1366x768px Wi-fi 5 (802.11ac) Teclado Español Windows 11 Home Color Abyss Blue,941399,$,1262499,25% OFF,PC CENTER COMPUTERS,4.7,Mismo precio 18 cuotas de$52.299,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-12-gb-ddr4-sdram-128-gb-emmc-396-cm-156-1366x768px-wi-fi-5-80211ac-teclado-espanol-windows-11-home-color-abyss-blue/p/MLA41391097,https://http2.mlstatic.com/D_Q_NP_2X_761852-MLA100001156811_112025-E.webp,main
Notebook HP 255 G10 Ryzen 7 7730U | 16GB RAM | 512GB SSD NVMe | 15.6” Full HD | Windows 11 Home | Laptop Empresarial,1899999,$,2599999,26% OFF,EW Electro World,4.8,Mismo precio 18 cuotas de$105.555,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-hp-255-g10-ryzen-7-7730u-16gb-ram-512gb-ssd-nvme-156-full-hd-windows-11-home-laptop-empresarial/p/MLA43286413,https://http2.mlstatic.com/D_Q_NP_2X_783503-MLA99733568025_112025-E.webp,main
Notebook Onn-s3185 Intel I3 12va Ram 8gb Ssd 512gb W11 Exo Color Gris,741251,$,1100000,32% OFF,,4.8,Mismo precio 6 cuotas de$123.541,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-onn-s3185-intel-i3-12va-ram-8gb-ssd-512gb-w11-exo-color-gris/p/MLA53335887,https://http2.mlstatic.com/D_Q_NP_2X_887558-MLA99932090545_112025-E.webp,main
Notebook Samsung Galaxy Book3 15.6 Intel Core I3 6 Núcleos 8gb 256gb Color Silver,921499,$,1860049,50% OFF,Bidcom,4.8,6 cuotas de$210.270,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-samsung-galaxy-book3-156-intel-core-i3-6-nucleos-8gb-256gb-color-silver/p/MLA24848233,https://http2.mlstatic.com/D_Q_NP_2X_844796-MLA99850433669_112025-E.webp,main
Notebook Samsung Galaxy Book3 15.6 Intel Core I3 6 Núcleos 8gb 256gb Color Silver,1074299,$,2216049,51% OFF,Bidcom,4.8,Mismo precio 6 cuotas de$179.049,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-samsung-galaxy-book3-156-intel-core-i3-6-nucleos-8gb-256gb-color-silver/p/MLA24848233?offer_type=BEST_INSTALLMENTS,https://http2.mlstatic.com/D_Q_NP_2X_844796-MLA99850433669_112025-E.webp,alternative (best_installments)
Notebook Hp 250r G9 Intel Core I5-1335u 16 Gb Ddr4-sdram 512 Gb Ssd 39.6 Cm (15.6 ) 1366x768px Intel Iris Xe Graphics 80EU Wi-fi 6 (802.11ax) Teclado Español Windows 11 Home Color Gris Ceniza Oscuro,1590299,$,2008799,20% OFF,PC CENTER COMPUTERS,4.8,Mismo precio 18 cuotas de$88.349,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-hp-250r-g9-intel-core-i5-1335u-16-gb-ddr4-sdram-512-gb-ssd-396-cm-156-1366x768px-intel-iris-xe-graphics-80eu-wi-fi-6-80211ax-teclado-espanol-windows-11-home-color-gris-ceniza-oscuro/p/MLA65477755,https://http2.mlstatic.com/D_Q_NP_2X_756124-MLA106998052939_022026-E.webp,main
Notebook HP Omnibook 5 Amd Ryzen Ia 7 350 16 GB DDR5 512 GB Ssd 16 2K 1920 px x 1200 px Windows 11,997859,$,1425524,30% OFF,,4.9,,Envío gratis,https://www.mercadolibre.com.ar/notebook-hp-omnibook-5-amd-ryzen-ia-7-350-16-gb-ddr5-512-gb-ssd-16-2k-1920-px-x-1200-px-windows-11/p/MLA53176721,https://http2.mlstatic.com/D_Q_NP_2X_716063-MLA109558584488_042026-E.webp,main
Notebook HP 15-fd0151la Pantalla Táctil Intel Core i5 8gb RAM 512gb Ssd Windows 11 Home,1430499,$,2399999,40% OFF,HP Tienda Oficial,4.9,Mismo precio 18 cuotas de$79.472,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-hp-15-fd0151la-pantalla-tactil-intel-core-i5-8gb-ram-512gb-ssd-windows-11-home/p/MLA53968197,https://http2.mlstatic.com/D_Q_NP_2X_675660-MLA99937685755_112025-E.webp,main
"Notebook Asus Vivobook Go 15 E1504ga, Intel Core I3-n305, 8gb De Ram Ddr4, 256gb Ssd M.2 Pcie Nvme, Gráficos Intel Uhd (15,6), 1920 X 1080 Px Full Hd, Wi-fi 6e, Windows 11 Home, Color Negro",749999,$,819999,8% OFF,ACUARIO INSUMOS Y TECNOLOGIA,4.9,6 cuotas de$171.137,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-asus-vivobook-go-15-e1504ga-intel-core-i3-n305-8gb-de-ram-ddr4-256gb-ssd-m2-pcie-nvme-graficos-intel-uhd-156-1920-x-1080-px-full-hd-wi-fi-6e-windows-11-home-color-negro/p/MLA53795534,https://http2.mlstatic.com/D_Q_NP_2X_863799-MLA99482123972_112025-E.webp,main
Notebook ASUS Vivobook 15 AMD Ryzen™ 7 60Hz 16GB 512GB,1199699,$,1942048,38% OFF,ESPACIO ELECTRONICA,4.8,6 cuotas de$273.751,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-asus-vivobook-15-amd-ryzen-7-60hz-16gb-512gb/p/MLA51565846,https://http2.mlstatic.com/D_Q_NP_2X_952881-MLA99507211266_112025-E.webp,main
